timestamp,index,gpu_util_percent,memory_used_mb,memory_total_mb,pcie_link_gen_current,sample_unix_s
2026/05/26 22:12:46.916,0,0,4854,10240,1,1779804766.932299
2026/05/26 22:12:47.948,0,0,4854,10240,1,1779804767.964001
2026/05/26 22:12:48.977,0,0,4854,10240,1,1779804768.993325
2026/05/26 22:12:50.007,0,0,4854,10240,1,1779804770.022520
2026/05/26 22:12:51.036,0,0,4854,10240,1,1779804771.050779
2026/05/26 22:12:52.064,0,0,4854,10240,1,1779804772.079308
2026/05/26 22:12:53.095,0,0,4854,10240,1,1779804773.110171
2026/05/26 22:12:54.125,0,0,4854,10240,1,1779804774.139755
2026/05/26 22:12:55.153,0,0,4854,10240,1,1779804775.169045
2026/05/26 22:12:56.183,0,0,4854,10240,1,1779804776.198087
2026/05/26 22:12:57.211,0,0,4854,10240,1,1779804777.226130
2026/05/26 22:12:58.239,0,0,4854,10240,4,1779804778.246048
2026/05/26 22:12:59.258,0,0,4854,10240,4,1779804779.263891
2026/05/26 22:13:00.275,0,0,4854,10240,4,1779804780.282412
2026/05/26 22:13:01.294,0,0,4854,10240,4,1779804781.300981
2026/05/26 22:13:02.313,0,0,4854,10240,4,1779804782.319264
2026/05/26 22:13:03.331,0,23,4104,10240,4,1779804783.338681
2026/05/26 22:13:04.352,0,0,4408,10240,4,1779804784.358291
2026/05/26 22:13:05.372,0,0,4408,10240,4,1779804785.378584
2026/05/26 22:13:06.390,0,0,4408,10240,4,1779804786.396703
2026/05/26 22:13:07.408,0,0,4408,10240,4,1779804787.414231
2026/05/26 22:13:08.428,0,73,4408,10240,4,1779804788.434314
2026/05/26 22:13:09.448,0,0,4408,10240,4,1779804789.453953
2026/05/26 22:13:10.466,0,0,4408,10240,4,1779804790.472370
2026/05/26 22:13:11.486,0,0,4408,10240,4,1779804791.492905
2026/05/26 22:13:12.504,0,0,4408,10240,4,1779804792.511037
2026/05/26 22:13:13.525,0,0,4408,10240,4,1779804793.531212
2026/05/26 22:13:14.545,0,0,4408,10240,4,1779804794.551368
2026/05/26 22:13:15.563,0,0,4408,10240,4,1779804795.569924
2026/05/26 22:13:16.582,0,0,4408,10240,4,1779804796.588232
2026/05/26 22:13:17.602,0,0,4408,10240,4,1779804797.609164
2026/05/26 22:13:18.621,0,0,4408,10240,4,1779804798.627132
2026/05/26 22:13:19.640,0,0,4408,10240,4,1779804799.647199
2026/05/26 22:13:20.660,0,0,4408,10240,4,1779804800.666249
2026/05/26 22:13:21.680,0,0,4408,10240,4,1779804801.686885
2026/05/26 22:13:22.701,0,0,4408,10240,4,1779804802.707373
2026/05/26 22:13:23.719,0,0,4408,10240,4,1779804803.725069
2026/05/26 22:13:24.736,0,0,4408,10240,4,1779804804.742164
2026/05/26 22:13:25.754,0,0,4408,10240,4,1779804805.760101
2026/05/26 22:13:26.774,0,0,4408,10240,4,1779804806.780524
2026/05/26 22:13:27.792,0,0,4408,10240,4,1779804807.798661
2026/05/26 22:13:28.810,0,0,4408,10240,4,1779804808.816767
2026/05/26 22:13:29.828,0,0,4408,10240,4,1779804809.833672
2026/05/26 22:13:30.846,0,0,4408,10240,4,1779804810.852232
2026/05/26 22:13:31.864,0,0,4408,10240,4,1779804811.870182
2026/05/26 22:13:32.882,0,0,4408,10240,4,1779804812.888320
2026/05/26 22:13:33.900,0,0,4408,10240,4,1779804813.906350
2026/05/26 22:13:34.920,0,0,4408,10240,4,1779804814.926402
2026/05/26 22:13:35.939,0,0,4408,10240,4,1779804815.944978
2026/05/26 22:13:36.956,0,0,4408,10240,4,1779804816.963312
2026/05/26 22:13:37.976,0,0,4408,10240,4,1779804817.982474
2026/05/26 22:13:38.994,0,0,4408,10240,4,1779804819.000181
2026/05/26 22:13:40.014,0,0,4408,10240,4,1779804820.019747
2026/05/26 22:13:41.031,0,0,4408,10240,4,1779804821.037791
2026/05/26 22:13:42.049,0,0,4408,10240,4,1779804822.055133
2026/05/26 22:13:43.067,0,0,4408,10240,4,1779804823.073212
2026/05/26 22:13:44.085,0,0,4408,10240,4,1779804824.090936
2026/05/26 22:13:45.103,0,0,4408,10240,4,1779804825.108952
2026/05/26 22:13:46.121,0,0,4408,10240,4,1779804826.126996
2026/05/26 22:13:47.138,0,0,4408,10240,4,1779804827.145114
2026/05/26 22:13:48.156,0,0,4408,10240,4,1779804828.163065
2026/05/26 22:13:49.175,0,0,4408,10240,4,1779804829.181288
2026/05/26 22:13:50.192,0,0,4408,10240,4,1779804830.199044
2026/05/26 22:13:51.211,0,0,4408,10240,4,1779804831.217354
2026/05/26 22:13:52.231,0,0,4408,10240,4,1779804832.238184
2026/05/26 22:13:53.252,0,0,4408,10240,4,1779804833.258572
2026/05/26 22:13:54.272,0,0,4408,10240,4,1779804834.277809
2026/05/26 22:13:55.291,0,0,4408,10240,4,1779804835.298051
2026/05/26 22:13:56.310,0,0,4408,10240,4,1779804836.316216
2026/05/26 22:13:57.327,0,0,4408,10240,4,1779804837.334001
2026/05/26 22:13:58.348,0,0,4408,10240,4,1779804838.354592
2026/05/26 22:13:59.369,0,0,4408,10240,4,1779804839.375402
2026/05/26 22:14:00.389,0,0,4408,10240,2,1779804840.399848
2026/05/26 22:14:01.414,0,0,4408,10240,1,1779804841.431490
2026/05/26 22:14:02.448,0,0,4408,10240,1,1779804842.465212
2026/05/26 22:14:03.482,0,0,4408,10240,1,1779804843.499363
2026/05/26 22:14:04.515,0,0,4408,10240,1,1779804844.532127
2026/05/26 22:14:05.548,0,0,4408,10240,1,1779804845.565290
2026/05/26 22:14:06.580,0,0,4408,10240,1,1779804846.597238
2026/05/26 22:14:07.611,0,0,4408,10240,1,1779804847.628450
